id,date,store_nbr,family,predicted_sales
3000888,2017-08-16,1,AUTOMOTIVE,319.7311742602662
3000889,2017-08-16,1,BABY CARE,12.459296163341136
3000890,2017-08-16,1,BEAUTY,585.0710554285221
3000891,2017-08-16,1,BEVERAGES,217954.216139258
3000892,2017-08-16,1,BOOKS,0.4600088467350011
3000893,2017-08-16,1,BREAD/BAKERY,35011.35883202651
3000894,2017-08-16,1,CELEBRATION,673.1875210185782
3000895,2017-08-16,1,CLEANING,107843.26984337144
3000896,2017-08-16,1,DAIRY,57912.90267859952
3000897,2017-08-16,1,DELI,16790.98855192982
3000898,2017-08-16,1,EGGS,8791.432083826916
3000899,2017-08-16,1,FROZEN FOODS,6262.144574733343
3000900,2017-08-16,1,GROCERY I,421157.55244697334
3000901,2017-08-16,1,GROCERY II,1750.0529718571834
3000902,2017-08-16,1,HARDWARE,76.52491439182839
3000903,2017-08-16,1,HOME AND KITCHEN I,1463.9235495941487
3000904,2017-08-16,1,HOME AND KITCHEN II,32532.147203060675
3000905,2017-08-16,1,HOME APPLIANCES,13.070935169159489
3000906,2017-08-16,1,HOME CARE,83337.32130078359
3000907,2017-08-16,1,LADIESWEAR,590.197352937802
3000908,2017-08-16,1,LAWN AND GARDEN,9105.010377019504
3000909,2017-08-16,1,LINGERIE,1065.3474548898148
3000910,2017-08-16,1,"LIQUOR,WINE,BEER",76459.00409167542
3000911,2017-08-16,1,MAGAZINES,271.74472023917673
3000912,2017-08-16,1,MEATS,20039.0688270378
3000913,2017-08-16,1,PERSONAL CARE,46874.937290375085
3000914,2017-08-16,1,PET SUPPLIES,448.1308121966704
3000915,2017-08-16,1,PLAYERS AND ELECTRONICS,664.3870653973624
3000916,2017-08-16,1,POULTRY,20676.311752716236
3000917,2017-08-16,1,PREPARED FOODS,4719.382485587992
3000918,2017-08-16,1,PRODUCE,443710.8748346989
3000919,2017-08-16,1,SCHOOL AND OFFICE SUPPLIES,8861626.071112562
3000920,2017-08-16,1,SEAFOOD,930.1103864219263
3000921,2017-08-16,10,AUTOMOTIVE,319.7311742602662
3000922,2017-08-16,10,BABY CARE,12.459296163341136
3000923,2017-08-16,10,BEAUTY,585.0710554285221
3000924,2017-08-16,10,BEVERAGES,217954.216139258
3000925,2017-08-16,10,BOOKS,0.4600088467350011
3000926,2017-08-16,10,BREAD/BAKERY,35011.35883202651
3000927,2017-08-16,10,CELEBRATION,673.1875210185782
3000928,2017-08-16,10,CLEANING,107843.26984337144
3000929,2017-08-16,10,DAIRY,57912.90267859952
3000930,2017-08-16,10,DELI,16790.98855192982
3000931,2017-08-16,10,EGGS,8791.432083826916
3000932,2017-08-16,10,FROZEN FOODS,6262.144574733343
3000933,2017-08-16,10,GROCERY I,421157.55244697334
3000934,2017-08-16,10,GROCERY II,1750.0529718571834
3000935,2017-08-16,10,HARDWARE,76.52491439182839
3000936,2017-08-16,10,HOME AND KITCHEN I,1463.9235495941487
3000937,2017-08-16,10,HOME AND KITCHEN II,32532.147203060675
3000938,2017-08-16,10,HOME APPLIANCES,13.070935169159489
3000939,2017-08-16,10,HOME CARE,83337.32130078359
3000940,2017-08-16,10,LADIESWEAR,590.197352937802
3000941,2017-08-16,10,LAWN AND GARDEN,9105.010377019504
3000942,2017-08-16,10,LINGERIE,1065.3474548898148
3000943,2017-08-16,10,"LIQUOR,WINE,BEER",76459.00409167542
3000944,2017-08-16,10,MAGAZINES,271.74472023917673
3000945,2017-08-16,10,MEATS,20039.0688270378
3000946,2017-08-16,10,PERSONAL CARE,46874.937290375085
3000947,2017-08-16,10,PET SUPPLIES,448.1308121966704
3000948,2017-08-16,10,PLAYERS AND ELECTRONICS,664.3870653973624
3000949,2017-08-16,10,POULTRY,20676.311752716236
3000950,2017-08-16,10,PREPARED FOODS,4719.382485587992
3000951,2017-08-16,10,PRODUCE,443710.8748346989
3000952,2017-08-16,10,SCHOOL AND OFFICE SUPPLIES,8861626.071112562
3000953,2017-08-16,10,SEAFOOD,930.1103864219263
3000954,2017-08-16,11,AUTOMOTIVE,319.7311742602662
3000955,2017-08-16,11,BABY CARE,12.459296163341136
3000956,2017-08-16,11,BEAUTY,585.0710554285221
3000957,2017-08-16,11,BEVERAGES,217954.216139258
3000958,2017-08-16,11,BOOKS,0.4600088467350011
3000959,2017-08-16,11,BREAD/BAKERY,35011.35883202651
3000960,2017-08-16,11,CELEBRATION,673.1875210185782
3000961,2017-08-16,11,CLEANING,107843.26984337144
3000962,2017-08-16,11,DAIRY,57912.90267859952
3000963,2017-08-16,11,DELI,16790.98855192982
3000964,2017-08-16,11,EGGS,8791.432083826916
3000965,2017-08-16,11,FROZEN FOODS,6262.144574733343
3000966,2017-08-16,11,GROCERY I,421157.55244697334
3000967,2017-08-16,11,GROCERY II,1750.0529718571834
3000968,2017-08-16,11,HARDWARE,76.52491439182839
3000969,2017-08-16,11,HOME AND KITCHEN I,1463.9235495941487
3000970,2017-08-16,11,HOME AND KITCHEN II,32532.147203060675
3000971,2017-08-16,11,HOME APPLIANCES,13.070935169159489
3000972,2017-08-16,11,HOME CARE,83337.32130078359
3000973,2017-08-16,11,LADIESWEAR,590.197352937802
3000974,2017-08-16,11,LAWN AND GARDEN,9105.010377019504
3000975,2017-08-16,11,LINGERIE,1065.3474548898148
3000976,2017-08-16,11,"LIQUOR,WINE,BEER",76459.00409167542
3000977,2017-08-16,11,MAGAZINES,271.74472023917673
3000978,2017-08-16,11,MEATS,20039.0688270378
3000979,2017-08-16,11,PERSONAL CARE,46874.937290375085
3000980,2017-08-16,11,PET SUPPLIES,448.1308121966704
3000981,2017-08-16,11,PLAYERS AND ELECTRONICS,664.3870653973624
3000982,2017-08-16,11,POULTRY,20676.311752716236
3000983,2017-08-16,11,PREPARED FOODS,4719.382485587992
3000984,2017-08-16,11,PRODUCE,443710.8748346989
3000985,2017-08-16,11,SCHOOL AND OFFICE SUPPLIES,8861626.071112562
3000986,2017-08-16,11,SEAFOOD,930.1103864219263
3000987,2017-08-16,12,AUTOMOTIVE,319.7311742602662
3000988,2017-08-16,12,BABY CARE,12.459296163341136
3000989,2017-08-16,12,BEAUTY,585.0710554285221
3000990,2017-08-16,12,BEVERAGES,217954.216139258
3000991,2017-08-16,12,BOOKS,0.4600088467350011
3000992,2017-08-16,12,BREAD/BAKERY,35011.35883202651
3000993,2017-08-16,12,CELEBRATION,673.1875210185782
3000994,2017-08-16,12,CLEANING,107843.26984337144
3000995,2017-08-16,12,DAIRY,57912.90267859952
3000996,2017-08-16,12,DELI,16790.98855192982
3000997,2017-08-16,12,EGGS,8791.432083826916
3000998,2017-08-16,12,FROZEN FOODS,6262.144574733343
3000999,2017-08-16,12,GROCERY I,421157.55244697334
3001000,2017-08-16,12,GROCERY II,1750.0529718571834
3001001,2017-08-16,12,HARDWARE,76.52491439182839
3001002,2017-08-16,12,HOME AND KITCHEN I,1463.9235495941487
3001003,2017-08-16,12,HOME AND KITCHEN II,32532.147203060675
3001004,2017-08-16,12,HOME APPLIANCES,13.070935169159489
3001005,2017-08-16,12,HOME CARE,83337.32130078359
3001006,2017-08-16,12,LADIESWEAR,590.197352937802
3001007,2017-08-16,12,LAWN AND GARDEN,9105.010377019504
3001008,2017-08-16,12,LINGERIE,1065.3474548898148
3001009,2017-08-16,12,"LIQUOR,WINE,BEER",76459.00409167542
3001010,2017-08-16,12,MAGAZINES,271.74472023917673
3001011,2017-08-16,12,MEATS,20039.0688270378
3001012,2017-08-16,12,PERSONAL CARE,46874.937290375085
3001013,2017-08-16,12,PET SUPPLIES,448.1308121966704
3001014,2017-08-16,12,PLAYERS AND ELECTRONICS,664.3870653973624
3001015,2017-08-16,12,POULTRY,20676.311752716236
3001016,2017-08-16,12,PREPARED FOODS,4719.382485587992
3001017,2017-08-16,12,PRODUCE,443710.8748346989
3001018,2017-08-16,12,SCHOOL AND OFFICE SUPPLIES,8861626.071112562
3001019,2017-08-16,12,SEAFOOD,930.1103864219263
3001020,2017-08-16,13,AUTOMOTIVE,319.7311742602662
3001021,2017-08-16,13,BABY CARE,12.459296163341136
3001022,2017-08-16,13,BEAUTY,585.0710554285221
3001023,2017-08-16,13,BEVERAGES,217954.216139258
3001024,2017-08-16,13,BOOKS,0.4600088467350011
3001025,2017-08-16,13,BREAD/BAKERY,35011.35883202651
3001026,2017-08-16,13,CELEBRATION,673.1875210185782
3001027,2017-08-16,13,CLEANING,107843.26984337144
3001028,2017-08-16,13,DAIRY,57912.90267859952
3001029,2017-08-16,13,DELI,16790.98855192982
3001030,2017-08-16,13,EGGS,8791.432083826916
3001031,2017-08-16,13,FROZEN FOODS,6262.144574733343
3001032,2017-08-16,13,GROCERY I,421157.55244697334
3001033,2017-08-16,13,GROCERY II,1750.0529718571834
3001034,2017-08-16,13,HARDWARE,76.52491439182839
3001035,2017-08-16,13,HOME AND KITCHEN I,1463.9235495941487
3001036,2017-08-16,13,HOME AND KITCHEN II,32532.147203060675
3001037,2017-08-16,13,HOME APPLIANCES,13.070935169159489
3001038,2017-08-16,13,HOME CARE,83337.32130078359
3001039,2017-08-16,13,LADIESWEAR,590.197352937802
3001040,2017-08-16,13,LAWN AND GARDEN,9105.010377019504
3001041,2017-08-16,13,LINGERIE,1065.3474548898148
3001042,2017-08-16,13,"LIQUOR,WINE,BEER",76459.00409167542
3001043,2017-08-16,13,MAGAZINES,271.74472023917673
3001044,2017-08-16,13,MEATS,20039.0688270378
3001045,2017-08-16,13,PERSONAL CARE,46874.937290375085
3001046,2017-08-16,13,PET SUPPLIES,448.1308121966704
3001047,2017-08-16,13,PLAYERS AND ELECTRONICS,664.3870653973624
3001048,2017-08-16,13,POULTRY,20676.311752716236
3001049,2017-08-16,13,PREPARED FOODS,4719.382485587992
3001050,2017-08-16,13,PRODUCE,443710.8748346989
3001051,2017-08-16,13,SCHOOL AND OFFICE SUPPLIES,8861626.071112562
3001052,2017-08-16,13,SEAFOOD,930.1103864219263
3001053,2017-08-16,14,AUTOMOTIVE,319.7311742602662
3001054,2017-08-16,14,BABY CARE,12.459296163341136
3001055,2017-08-16,14,BEAUTY,585.0710554285221
3001056,2017-08-16,14,BEVERAGES,217954.216139258
3001057,2017-08-16,14,BOOKS,0.4600088467350011
3001058,2017-08-16,14,BREAD/BAKERY,35011.35883202651
3001059,2017-08-16,14,CELEBRATION,673.1875210185782
3001060,2017-08-16,14,CLEANING,107843.26984337144
3001061,2017-08-16,14,DAIRY,57912.90267859952
3001062,2017-08-16,14,DELI,16790.98855192982
3001063,2017-08-16,14,EGGS,8791.432083826916
3001064,2017-08-16,14,FROZEN FOODS,6262.144574733343
3001065,2017-08-16,14,GROCERY I,421157.55244697334
3001066,2017-08-16,14,GROCERY II,1750.0529718571834
